date,day_no,value
01.01,1,1.242
02.01,2,1.2439
03.01,3,1.2457
04.01,4,1.2473
05.01,5,1.2488
06.01,6,1.2501
07.01,7,1.2514
08.01,8,1.2525
09.01,9,1.2534
10.01,10,1.2543
11.01,11,1.255
12.01,12,1.2556
13.01,13,1.2561
14.01,14,1.2565
15.01,15,1.2568
16.01,16,1.2569
17.01,17,1.257
18.01,18,1.2569
19.01,19,1.2567
20.01,20,1.2564
21.01,21,1.256
22.01,22,1.2555
23.01,23,1.2549
24.01,24,1.2543
25.01,25,1.2535
26.01,26,1.2526
27.01,27,1.2516
28.01,28,1.2505
29.01,29,1.2494
30.01,30,1.2481
31.01,31,1.2468
01.02,32,1.2454
02.02,33,1.2439
03.02,34,1.2423
04.02,35,1.2406
05.02,36,1.2389
06.02,37,1.2371
07.02,38,1.2352
08.02,39,1.2332
09.02,40,1.2312
10.02,41,1.229
11.02,42,1.2269
12.02,43,1.2246
13.02,44,1.2223
14.02,45,1.2199
15.02,46,1.2174
16.02,47,1.2149
17.02,48,1.2124
18.02,49,1.2097
19.02,50,1.2071
20.02,51,1.2043
21.02,52,1.2015
22.02,53,1.1987
23.02,54,1.1958
24.02,55,1.1928
25.02,56,1.1898
26.02,57,1.1867
27.02,58,1.1836
28.02,59,1.1805
29.02,60,1.1773
01.03,61,1.1741
02.03,62,1.1708
03.03,63,1.1675
04.03,64,1.1642
05.03,65,1.1608
06.03,66,1.1574
07.03,67,1.1539
08.03,68,1.1504
09.03,69,1.1469
10.03,70,1.1434
11.03,71,1.1398
12.03,72,1.1362
13.03,73,1.1326
14.03,74,1.1289
15.03,75,1.1252
16.03,76,1.1215
17.03,77,1.1178
18.03,78,1.114
19.03,79,1.1103
20.03,80,1.1065
21.03,81,1.1027
22.03,82,1.0989
23.03,83,1.0951
24.03,84,1.0912
25.03,85,1.0874
26.03,86,1.0835
27.03,87,1.0796
28.03,88,1.0757
29.03,89,1.0718
30.03,90,1.0679
31.03,91,1.064
01.04,92,1.0601
02.04,93,1.0562
03.04,94,1.0523
04.04,95,1.0484
05.04,96,1.0445
06.04,97,1.0405
07.04,98,1.0366
